plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1.0	1.0	0.0	3.0	0.0	7.73	0.27	2.34	8.7	0.0	2.18	8.7	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	406.32	347.93	754.24
1.0	1.0	0.0	3.0	0.0	7.73	0.27	2.34	7.73	0.27	2.66	8.7	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	165.96	445.34000000000003	0.0	0.0	0.0	611.29
1.0	1.0	0.0	3.0	0.0	7.73	0.27	2.66	8.7	0.27	2.34	8.7	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	75.44	477.76	553.2
1.0	1.0	0.0	3.0	0.0	7.73	0.27	2.66	7.73	0.0	2.82	8.7	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	316.02	371.51	0.0	0.0	0.0	687.53
1.0	1.0	0.0	3.0	0.0	7.73	0.0	2.82	8.7	0.27	2.66	8.7	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	466.51	326.38	792.89
1.0	1.0	0.0	3.0	0.0	7.73	0.0	2.82	7.73	-0.27	2.66	8.7	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	346.12	355.53	0.0	0.0	0.0	701.65
1.0	1.0	0.0	3.0	0.0	7.73	-0.27	2.66	8.7	0.0	2.82	8.7	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	406.32	347.93	754.24
1.0	1.0	0.0	3.0	0.0	7.73	-0.27	2.66	7.73	-0.27	2.34	8.7	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	165.96	445.34000000000003	0.0	0.0	0.0	611.29
1.0	1.0	0.0	3.0	0.0	7.73	-0.27	2.34	8.7	-0.27	2.66	8.7	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	75.44	477.76	553.2
1.0	1.0	0.0	3.0	0.0	7.73	-0.27	2.34	7.73	0.0	2.18	8.7	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	316.02	371.51	0.0	0.0	0.0	687.53
1.0	1.0	0.0	3.0	0.0	7.73	0.0	2.18	8.7	-0.27	2.34	8.7	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	466.51	326.38	792.89
1.0	1.0	0.0	3.0	0.0	8.7	0.0	2.18	8.7	0.27	2.34	9.67	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	406.32	328.02	0.0	0.0	0.0	734.34
1.0	1.0	0.0	3.0	0.0	8.7	0.27	2.34	9.67	0.0	2.18	9.67	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	346.12	395.32	741.4399999999999
1.0	1.0	0.0	3.0	0.0	8.7	0.27	2.34	8.7	0.27	2.66	9.67	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	90.52000000000001	459.45	0.0	0.0	0.0	549.97
1.0	1.0	0.0	3.0	0.0	8.7	0.27	2.66	9.67	0.27	2.34	9.67	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	90.52000000000001	468.62	559.14
1.0	1.0	0.0	3.0	0.0	8.7	0.27	2.66	8.7	0.0	2.82	9.67	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	406.32	317.86	0.0	0.0	0.0	724.17
1.0	1.0	0.0	3.0	0.0	8.7	0.0	2.82	9.67	0.27	2.66	9.67	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	300.98	371.56	672.53
1.0	1.0	0.0	3.0	0.0	8.7	0.0	2.82	8.7	-0.27	2.66	9.67	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	406.32	328.02	0.0	0.0	0.0	734.34
1.0	1.0	0.0	3.0	0.0	8.7	-0.27	2.66	9.67	0.0	2.82	9.67	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	346.12	395.32	741.4399999999999
1.0	1.0	0.0	3.0	0.0	8.7	-0.27	2.66	8.7	-0.27	2.34	9.67	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	90.52000000000001	459.45	0.0	0.0	0.0	549.97
1.0	1.0	0.0	3.0	0.0	8.7	-0.27	2.34	9.67	-0.27	2.66	9.67	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	90.52000000000001	468.62	559.14
1.0	1.0	0.0	3.0	0.0	8.7	-0.27	2.34	8.7	0.0	2.18	9.67	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	406.32	317.86	0.0	0.0	0.0	724.17
1.0	1.0	0.0	3.0	0.0	8.7	0.0	2.18	9.67	-0.27	2.34	9.67	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	300.98	371.56	672.53
1.0	1.0	0.0	3.0	0.0	9.67	0.0	2.18	9.67	0.27	2.34	10.63	0.0	2.18	0.45	0.0	0.078	0.153	0.0	331.42	341.19	0.0	0.0	0.0	672.61
1.0	1.0	0.0	3.0	0.0	9.67	0.27	2.34	10.63	0.0	2.18	10.63	0.27	2.34	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	286.22	380.3	666.52
1.0	1.0	0.0	3.0	0.0	9.67	0.27	2.34	9.67	0.27	2.66	10.63	0.27	2.34	0.45	0.0	0.078	0.1526	0.0	135.91	483.33	0.0	0.0	0.0	619.24
1.0	1.0	0.0	3.0	0.0	9.67	0.27	2.66	10.63	0.27	2.34	10.63	0.27	2.66	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	166.12	499.88	666.0
1.0	1.0	0.0	3.0	0.0	9.67	0.27	2.66	9.67	0.0	2.82	10.63	0.27	2.66	0.45	0.0	0.078	0.153	0.0	391.67	331.25	0.0	0.0	0.0	722.92
1.0	1.0	0.0	3.0	0.0	9.67	0.0	2.82	10.63	0.27	2.66	10.63	0.0	2.82	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	346.48	319.33	665.81
1.0	1.0	0.0	3.0	0.0	9.67	0.0	2.82	9.67	-0.27	2.66	10.63	0.0	2.82	0.45	0.0	0.078	0.153	0.0	331.42	341.19	0.0	0.0	0.0	672.61
1.0	1.0	0.0	3.0	0.0	9.67	-0.27	2.66	10.63	0.0	2.82	10.63	-0.27	2.66	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	286.22	380.3	666.52
1.0	1.0	0.0	3.0	0.0	9.67	-0.27	2.66	9.67	-0.27	2.34	10.63	-0.27	2.66	0.45	0.0	0.078	0.1526	0.0	135.91	483.33	0.0	0.0	0.0	619.24
1.0	1.0	0.0	3.0	0.0	9.67	-0.27	2.34	10.63	-0.27	2.66	10.63	-0.27	2.34	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	166.12	499.88	666.0
1.0	1.0	0.0	3.0	0.0	9.67	-0.27	2.34	9.67	0.0	2.18	10.63	-0.27	2.34	0.45	0.0	0.078	0.153	0.0	391.67	331.25	0.0	0.0	0.0	722.92
1.0	1.0	0.0	3.0	0.0	9.67	0.0	2.18	10.63	-0.27	2.34	10.63	0.0	2.18	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	346.48	319.33	665.81
