plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1	1.00	0.00	3.00	0.00	2.90	0.00	2.18	3.87	-0.27	2.34	3.87	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	208.28	208.28	
1	1.00	0.00	3.00	0.00	3.87	0.00	2.18	3.87	0.27	2.34	4.83	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	202.83	0.00	0.00	0.00	202.83	
1	1.00	0.00	3.00	0.00	3.87	0.27	2.34	4.83	0.00	2.18	4.83	0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	166.07	166.07	
1	1.00	0.00	3.00	0.00	3.87	0.27	2.34	3.87	0.27	2.66	4.83	0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	75.51	193.97	0.00	0.00	0.00	269.48	
1	1.00	0.00	3.00	0.00	3.87	0.27	2.66	4.83	0.27	2.34	4.83	0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	120.82	213.68	334.49	
1	1.00	0.00	3.00	0.00	3.87	0.27	2.66	3.87	0.00	2.82	4.83	0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	316.35	163.42	0.00	0.00	0.00	479.77	
1	1.00	0.00	3.00	0.00	3.87	0.00	2.82	4.83	0.27	2.66	4.83	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	346.48	170.94	517.42	
1	1.00	0.00	3.00	0.00	3.87	0.00	2.82	3.87	-0.27	2.66	4.83	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	241.03	177.35	0.00	0.00	0.00	418.38	
1	1.00	0.00	3.00	0.00	3.87	-0.27	2.66	4.83	0.00	2.82	4.83	-0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	210.90	160.94	371.84	
1	1.00	0.00	3.00	0.00	3.87	-0.27	2.66	3.87	-0.27	2.34	4.83	-0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	60.41	181.05	0.00	0.00	0.00	241.46	
1	1.00	0.00	3.00	0.00	3.87	-0.27	2.34	4.83	-0.27	2.66	4.83	-0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	15.10	232.47	247.58	
1	1.00	0.00	3.00	0.00	3.87	-0.27	2.34	3.87	0.00	2.18	4.83	-0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	192.58	0.00	0.00	0.00	192.58	
1	1.00	0.00	3.00	0.00	3.87	0.00	2.18	4.83	-0.27	2.34	4.83	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	178.94	178.94	
1	1.00	0.00	3.00	0.00	4.83	0.00	2.18	4.83	0.27	2.34	5.80	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	182.97	0.00	0.00	0.00	182.97	
1	1.00	0.00	3.00	0.00	4.83	0.27	2.34	5.80	0.00	2.18	5.80	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	187.59	187.59	
1	1.00	0.00	3.00	0.00	4.83	0.27	2.34	4.83	0.27	2.66	5.80	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	75.43	214.90	0.00	0.00	0.00	290.33	
1	1.00	0.00	3.00	0.00	4.83	0.27	2.66	5.80	0.27	2.34	5.80	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	45.26	210.53	255.79	
1	1.00	0.00	3.00	0.00	4.83	0.27	2.66	4.83	0.00	2.82	5.80	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	210.68	147.33	0.00	0.00	0.00	358.02	
1	1.00	0.00	3.00	0.00	4.83	0.00	2.82	5.80	0.27	2.66	5.80	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	346.12	147.39	493.51	
1	1.00	0.00	3.00	0.00	4.83	0.00	2.82	4.83	-0.27	2.66	5.80	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	285.93	159.06	0.00	0.00	0.00	444.98	
1	1.00	0.00	3.00	0.00	4.83	-0.27	2.66	5.80	0.00	2.82	5.80	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	451.46	109.37	560.83	
1	1.00	0.00	3.00	0.00	4.83	-0.27	2.66	4.83	-0.27	2.34	5.80	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	60.35	201.78	0.00	0.00	0.00	262.12	
1	1.00	0.00	3.00	0.00	4.83	-0.27	2.34	5.80	-0.27	2.66	5.80	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	30.17	240.91	271.08	
